Month,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),LPG ONLY,NOT APPLICABLE,PETROL,PETROL/CNG
Jan-15,2612,260651,1,173,156,8705,1321517,23933
Feb-15,1925,226827,2,182,228,9831,1279794,18361
Mar-15,2037,241991,4,222,382,10665,1351525,20219
Apr-15,2052,214348,5,175,247,8716,1319110,19416
May-15,1769,211783,2,195,310,9048,1406050,18949
Jun-15,1854,225766,6,287,466,9297,1444086,21873
Jul-15,2162,227961,0,383,353,9768,1389299,22520
Aug-15,2130,212116,4,711,307,8607,1227670,19875
Sep-15,2336,221052,4,968,352,8449,1282832,21230
Oct-15,2180,220588,54,1073,190,8695,1289582,21522
Nov-15,2423,237771,179,1250,166,8872,1675271,24582
Dec-15,2077,228687,240,2182,182,12569,1478607,21880
Jan-16,2590,247127,229,1945,352,12863,1437790,26800
Feb-16,2404,242353,406,2499,480,10568,1455335,26848
Mar-16,2746,249152,651,4520,956,13026,1457396,27772
Apr-16,2856,216450,860,3441,363,9660,1466206,30922
May-16,3331,235451,792,4004,477,11466,1559629,29808
Jun-16,2736,236327,783,5119,271,11328,1526179,29197
Jul-16,2669,213460,1054,4380,160,11435,1422177,27204
Aug-16,2220,215901,1290,4021,246,9745,1403855,26693
Sep-16,2320,211519,1133,4174,145,10293,1372858,26721
Oct-16,2235,246639,1680,6335,177,10260,1686653,32202
Nov-16,1977,238122,985,4902,201,10247,1845206,23422
Dec-16,1351,203134,1470,4508,154,11893,1296913,20271
Jan-17,1832,219750,2222,4582,143,9382,1369137,28462
Feb-17,2088,217408,2736,4411,185,9413,1394255,24985
Mar-17,2671,315950,4048,5992,134,12054,1882426,27912
Apr-17,1991,226422,3598,5054,121,8536,1657442,21291
May-17,2076,213892,4342,7058,171,8997,1746452,22474
Jun-17,2506,230261,4922,7509,233,9069,1662882,23304
Jul-17,2266,235552,4294,9047,540,9179,1521897,22529
Aug-17,1725,222550,3301,9170,659,7508,1458603,24681
Sep-17,1899,232730,3555,7735,537,8414,1498569,30105
Oct-17,2504,238013,4547,7660,214,8446,1946813,35740
Nov-17,2478,276093,5025,10087,423,10292,2102774,39592
Dec-17,1982,237730,3667,9115,455,11341,1484927,33925
Jan-18,2799,283467,5246,9003,227,10765,1746002,43443
Feb-18,2539,260570,4527,7372,267,9893,1573500,39511
Mar-18,2613,300209,5180,7697,331,10815,1829077,39845
Apr-18,2850,273776,4702,7335,484,11328,1786584,39421
May-18,2597,270119,4903,8262,377,10211,1971331,38732
Jun-18,2304,254932,4463,8831,284,8821,1776335,35885
Jul-18,2271,275409,4570,11400,225,8336,1773812,36416
Aug-18,2325,249707,4534,11789,445,7463,1638210,35461
Sep-18,2560,237375,4179,13588,394,7126,1610090,33539
Oct-18,2989,265019,4360,14987,372,8943,1673752,36471
Nov-18,2701,261430,4545,14110,267,8795,2063580,37374
Dec-18,2775,261131,4800,15879,397,11059,1853159,34737
Jan-19,3173,287184,7462,13378,346,9021,1752660,38395
Feb-19,2775,258800,5759,12226,574,9075,1560866,33765
Mar-19,2986,276627,5756,15154,578,8643,1728022,32461
Apr-19,3088,240311,4489,11188,647,5901,1658727,34016
May-19,2791,240966,3508,10083,241,6096,1763095,34693
Jun-19,2428,223470,2014,11159,216,5029,1635431,29449
Jul-19,2877,251254,1573,12479,234,5963,1713561,33868
Aug-19,2673,226298,1202,13252,218,4994,1516858,31603
Sep-19,2493,198590,1006,16145,213,4654,1387903,27573
Oct-19,2805,234374,1390,15718,53,5937,1804823,40782
Nov-19,2977,261296,1381,19008,264,6815,2179783,39800
Dec-19,2299,229265,914,17033,282,6914,1590785,31018
Jan-20,3150,275412,1294,16856,175,7533,1639399,41453
Feb-20,3617,262040,643,16572,339,6963,1621313,32219
Mar-20,6922,306130,478,14065,1231,7226,2213734,24750
Apr-20,1970,47190,89,975,76,411,429146,3364
May-20,189,18622,0,1311,193,1459,217446,1292
Jun-20,1874,94994,1,6485,786,5292,1013472,7610
Jul-20,2446,149235,1,7798,910,6276,1143249,11468
Aug-20,2891,148954,3,8554,896,6428,1208822,15012
Sep-20,4152,173486,41,11350,1332,8608,1338742,15287
Oct-20,5009,170223,14,11443,1313,8464,1434002,20987
Nov-20,6128,179832,5,13384,1341,7956,1877225,22938
Dec-20,4871,201663,9,15854,1321,8309,1851701,22416
Jan-21,6072,196031,8,17021,1079,7658,1591243,28455
Feb-21,10972,193083,5,20062,889,7358,1432620,24617
Mar-21,13625,220403,0,28109,764,9397,1558561,27724
Apr-21,8496,140167,4,15020,1319,4496,1116408,16036
May-21,2242,57793,2,3604,319,1084,520045,8980
Jun-21,7086,145708,3,12322,476,3845,1213204,14671
Jul-21,13904,209448,2,28139,1324,6377,1470423,27478
Aug-21,16274,192107,5,30813,1405,6860,1275013,26172
Sep-21,20891,168198,0,36601,1497,6893,1194701,20481
Oct-21,21943,152950,1,40942,1271,7254,1293846,18153
Nov-21,22781,158650,2,45081,1663,6033,1765325,18787
Dec-21,22037,180520,2,53749,1402,6947,1466519,20490
Jan-22,23559,180391,3,51470,1242,6075,1320863,28916
Feb-22,20911,172010,4,58068,1018,6249,1243861,32287
Mar-22,25301,214589,3,83077,1276,7131,1424066,37248
Apr-22,23868,189695,4,77529,1010,5280,1464368,34766
May-22,19455,183959,23,69904,765,5084,1510400,33176
Jun-22,19864,192967,57,75861,993,5821,1364848,33994
Jul-22,21452,198338,80,80877,861,5632,1262058,33183
Aug-22,24368,192043,123,89007,1123,4688,1315026,33697
Sep-22,26999,189840,73,94900,1380,5405,1201393,29815
Oct-22,31084,205579,104,117502,1549,5117,1869478,42549
Nov-22,33330,221844,116,121600,1797,6154,1968680,36876
Dec-22,27184,202707,146,105001,1390,5780,1251336,31998
Jan-23,31196,220608,161,102863,1637,4805,1420095,43274
Feb-23,31310,208078,146,107210,1948,5028,1385845,28495
Mar-23,34392,239185,121,140895,1699,4847,1562953,32745
Apr-23,29921,197337,121,111327,1545,4336,1323102,31801
May-23,30945,207305,135,158336,1998,4280,1548095,37213
Jun-23,34552,225327,136,102409,2167,4860,1410875,41391
Jul-23,35272,213472,133,116172,2282,4350,1307183,42774
